url	category	name	summary
https://www.comune.catania.it/siti-tematici/default.aspx	site-section	Siti tematici	Siti web dedicati a specifiche aree tematiche, che offrono informazioni, servizi e risorse per cittadini, imprese e altre parti interessate.
https://www.comune.catania.it/amministrazione/organi-di-governo/	site-section	Organi di governo	Le informazioni sulla Giunta e il Consiglio comunale, incluse le convocazioni, le registrazioni delle sedute e i verbali.
https://www.comune.catania.it/amministrazione/uffici/default.aspx?unitaorganizzativa=549	site-section	GS – Ufficio per le Relazioni con il Pubblico – Comunicazione istituzionale, Relazioni esterne	L’URP svolge il delicato compito di interfaccia tra Pubblica Amministrazione e cittadino ed è preposto a percepire il disagio espresso quando non ottiene risposte efficaci alle richieste presentate
https://www.comune.catania.it/amministrazione/uffici/default.aspx?unitaorganizzativa=2775	site-section	PM - Servizio Viabilità - Infrastrutture - UTU e Mobilità	Svolge attività di controllo sulla segnaletica stradale, sul suolo e sottosuolo pubblico, sulle infrastrutture e sulla viabilità
https://www.comune.catania.it/amministrazione/aree-amministrative/default.aspx?unitaorganizzativa=2750	site-section	PM - Direzione Corpo di Polizia Municipale - UTU e Mobilità - Risarcimento danni	Gestisce sicurezza urbana, polizia stradale, monitoraggio della viabilità. Si occupa dell'accertamento di illeciti, oltre all'istruttoria per pratiche di risarcimento danni da incidenti o insidie stradali
https://www.comune.catania.it/amministrazione/uffici/default.aspx?unitaorganizzativa=2826	site-section	SD - E.Q. di Alta Professionalità Stato Civile - Anagrafe - CED - Ufficio Elettorale - Statistica e Toponomastica	Gestisce i servizi demografici fondamentali: anagrafe (residenza, CIE), stato civile (nascite, matrimoni, morti), elettorale (tessere, liste), toponomastica e statistica. Assicura la tenuta dei registri e il rilascio di certificazioni
https://www.comune.catania.it/amministrazione/uffici/default.aspx?unitaorganizzativa=16	site-section	GS - Ufficio Stampa - Comunicazione Istituzionale, Relazioni Esterne	L’Ufficio stampa e comunicazione istituzionale gestisce e coordina i canali di comunicazione esterna
https://www.comune.catania.it/amministrazione/aree-amministrative/default.aspx?unitaorganizzativa=1527	site-section	UR - Direzione Urbanistica e Gestione del Territorio - Urbamet - Ufficio di Piano - PUG - Politiche Urbane e Territoriali - PNRR Rigenerazione Urbana	Si occupa della trasformazione e dello sviluppo del territorio comunale attraverso la pianificazione e il controllo dell'attività edilizia
https://www.comune.catania.it/amministrazione/uffici/default.aspx?page={0}&Label=municipalità	site-section	Uffici	Le informazioni e i contatti degli Uffici di Città, gli uffici aperti al pubblico e gli uffici assistenziali.
https://www.comune.catania.it/amministrazione/aree-amministrative/default.aspx?unitaorganizzativa=1790	site-section	RG - Direzione Ragioneria Generale	Gestione finanziaria dell'ente locale, compresa la pianificazione, l'approvvigionamento, la contabilità, il controllo delle risorse economiche e la rendicontazione
https://www.comune.catania.it/servizi/default.aspx?servizio=3192	site-section	Catania Film Commission	La Catania Film Commission è un organismo interno al Comune di Catania, istituito nel 2002, con la finalità di promuovere l’immagine del territorio attraverso il cinema, l’audiovisivo e la fotografia.
https://www.comune.catania.it/servizi/default.aspx?servizio=3071	site-section	Catania Semplice	Piattaforma web che consente di inoltrare all’amministrazione, istanze online su servizi comunali
https://www.comune.catania.it/amministrazione/uffici/default.aspx?unitaorganizzativa=3197	site-section	C.U.G. - Comitato Unico di Garanzia	I Comitati Unici di Garanzia (CUG) sono comitati paritetici costituiti all’interno delle amministrazioni pubbliche con compiti propositivi, consultivi e di verifica in materia di pari opportunità e di benessere organizzativo
https://www.comune.catania.it/faq/	site-section	FAQ	Le risposte alle domande frequenti.
https://www.comune.catania.it/richiesta-assistenza/default.aspx	site-section	Richiesta assistenza	I campi contraddistinti dal simbolo asterisco sono obbligatori. Hai un’identità digitale SPID o CIE? Accedi
https://www.comune.catania.it/segnalazione-disservizio/default.aspx	site-section	Segnalazione disservizio	Il Portale del Comune di Catania gestisce i dati personali forniti e liberamente comunicati sulla base dell’articolo 13 del Regolamento(UE) 2016 / 679 General data protection regulation(Gdpr) e degli articoli 13 e succes
https://www.comune.catania.it/amministrazione/aree-amministrative/	site-section	Aree amministrative	La struttura organizzativa è suddivisa in aree di competenze che gestiscono i servizi erogati alla comunità.
https://www.comune.catania.it/amministrazione/uffici/	site-section	Uffici	Le informazioni e i contatti degli Uffici di Città, gli uffici aperti al pubblico e gli uffici assistenziali.
https://www.comune.catania.it/amministrazione/enti-e-fondazioni/	site-section	Enti e fondazioni	I consorzi, gli enti e le società partecipate di cui il Comune fa parte per rappresentare al meglio gli interessi della comunità.
https://www.comune.catania.it/amministrazione/politici/	site-section	Politici	Tutti i rappresentanti dei cittadini che compongono gli organi di indirizzo politico del Comune.
https://www.comune.catania.it/amministrazione/personale-amministrativo/	site-section	Personale amministrativo	Personale da contattare per informazioni e supporto ai servizi erogati dagli uffici.
https://www.comune.catania.it/servizi/default.aspx?category=6	site-section	Anagrafe e stato civile	Anagrafe e stato civile
https://www.comune.catania.it/servizi/default.aspx?category=10	site-section	Cultura e tempo libero	Cultura e tempo libero
https://www.comune.catania.it/servizi/default.aspx?category=3	site-section	Vita lavorativa	Vita lavorativa
https://www.comune.catania.it/servizi/default.aspx?category=12	site-section	Imprese e commercio	Imprese e commercio
https://www.comune.catania.it/servizi/default.aspx?category=14	site-section	Appalti pubblici	Appalti pubblici
https://www.comune.catania.it/servizi/default.aspx?category=5	site-section	Catasto e urbanistica	Catasto e urbanistica
https://www.comune.catania.it/servizi/default.aspx?category=7	site-section	Turismo	Turismo
https://www.comune.catania.it/servizi/default.aspx?category=4	site-section	Mobilità e trasporti	Mobilità e trasporti
https://www.comune.catania.it/servizi/default.aspx?category=1	site-section	Educazione e formazione	Educazione e formazione
https://www.comune.catania.it/servizi/default.aspx?category=8	site-section	Giustizia e sicurezza pubblica	Giustizia e sicurezza pubblica
https://www.comune.catania.it/servizi/default.aspx?category=9	site-section	Tributi, finanze e contravvenzioni	Tributi, finanze e contravvenzioni
https://www.comune.catania.it/servizi/default.aspx?category=11	site-section	Ambiente	Ambiente
https://www.comune.catania.it/servizi/default.aspx?category=2	site-section	Salute, benessere e assistenza	Salute, benessere e assistenza
https://www.comune.catania.it/servizi/default.aspx?category=13	site-section	Autorizzazioni	Autorizzazioni
https://www.comune.catania.it/servizi/default.aspx?category=15	site-section	Agricoltura e pesca	Agricoltura e pesca
https://www.comune.catania.it/novita/notizie/	site-section	Notizie	Le notizie, i comunicati e gli avvisi per restare aggiornati sulle ultime novità, opportunità e cosa succede nel territorio comunale.
https://www.comune.catania.it/novita/comunicati/	site-section	Comunicati	Le comunicazioni ufficiali del Sindaco, degli organi politici e degli uffici comunali.
https://www.comune.catania.it/novita/avvisi/	site-section	Avvisi	Bandi di gara, comunicazioni importanti alla cittadinanza, avvisi di concorso e tutte le opportunità per cittadini e imprese.
https://www.comune.catania.it/vivere-il-comune/luoghi/	site-section	Luoghi	Tutti i i luoghi d’interesse per scoprire e vivere il territorio comunale.
https://www.comune.catania.it/vivere-il-comune/eventi/	site-section	Eventi	Tutti gli eventi e le iniziative per scoprire e vivere il territorio comunale.
https://www.comune.catania.it/piano-di-miglioramento-del-sito/	site-section	Piano di miglioramento del sito	Azioni future di miglioramento della performance.
https://www.comune.catania.it/mappa-del-portale/default.aspx	site-section	Mappa del Portale	
https://www.comune.catania.it/cookie-policy/	site-section	Cookie policy	Cookie policy
https://www.comune.catania.it/informativa-privacy/	site-section	Informativa privacy	In questa pagina si descrivono le modalità di gestione del sito in riferimento al trattamento dei dati personali degli utenti che lo consultano.
https://www.comune.catania.it/note-legali/	site-section	Note legali	Informazioni su Diritto d'autore, Copyright, Link agreement e Clausola di esclusione della responsabilità relative al sito web.
https://www.comune.catania.it/novita/default.aspx?cat=Avviso	site-section	Avvisi	245 notizie trovate
https://www.comune.catania.it/novita/default.aspx?cat=Notizia	site-section	Notizie	610 notizie trovate
https://www.comune.catania.it/novita/default.aspx?page=1	site-section	Novità	Le notizie, i comunicati e gli avvisi per restare aggiornati sulle ultime novità, opportunità e cosa succede nel territorio comunale.
https://www.comune.catania.it/novita/default.aspx?page=2	site-section	Novità	Le notizie, i comunicati e gli avvisi per restare aggiornati sulle ultime novità, opportunità e cosa succede nel territorio comunale.
https://www.comune.catania.it/novita/default.aspx?page=3	site-section	Novità	Le notizie, i comunicati e gli avvisi per restare aggiornati sulle ultime novità, opportunità e cosa succede nel territorio comunale.
https://www.comune.catania.it/novita/default.aspx?page=4	site-section	Novità	Le notizie, i comunicati e gli avvisi per restare aggiornati sulle ultime novità, opportunità e cosa succede nel territorio comunale.
https://www.comune.catania.it/novita/default.aspx?page=5	site-section	Novità	Le notizie, i comunicati e gli avvisi per restare aggiornati sulle ultime novità, opportunità e cosa succede nel territorio comunale.
https://www.comune.catania.it/novita/default.aspx?page=6	site-section	Novità	Le notizie, i comunicati e gli avvisi per restare aggiornati sulle ultime novità, opportunità e cosa succede nel territorio comunale.
https://www.comune.catania.it/novita/default.aspx?cat=Comunicato	site-section	Comunicati	679 notizie trovate
https://www.comune.catania.it/vivere-il-comune/luoghi/?cat=Centro per la cultura - Biblioteca	site-section	Luoghi	Tutti i i luoghi d’interesse per scoprire e vivere il territorio comunale.
https://www.comune.catania.it/vivere-il-comune/luoghi/?cat=Centro per la cultura - Archivio	site-section	Luoghi	Tutti i i luoghi d’interesse per scoprire e vivere il territorio comunale.
https://www.comune.catania.it/vivere-il-comune/luoghi/?cat=Area Archeologica - Sito archeologico	site-section	Luoghi	Tutti i i luoghi d’interesse per scoprire e vivere il territorio comunale.
https://www.comune.catania.it/vivere-il-comune/luoghi/?cat=Architettura Residenziale - Palazzo	site-section	Luoghi	Tutti i i luoghi d’interesse per scoprire e vivere il territorio comunale.
https://www.comune.catania.it/vivere-il-comune/luoghi/?cat=Architettura Militare e fortificata - Castello	site-section	Luoghi	Tutti i i luoghi d’interesse per scoprire e vivere il territorio comunale.
